CODIGO_PROYECTO,NOMBRE_OBRA,NOMBRE_CLIENTE
P-1681, CD Rosen (CCTV Provisorio),Colchones ROSEN SAIC
P-1495,David del Curto Curico,David del Curto S.A.
P-1621,Renault - Cormecanica,INDUSTRIA DE CONJUNTOS MECANICOS ACONCAGUA S.A
P-1580,Bodegas Tobalaba II,Inversiones Viscachas SPA
P-1581,CCTV Bodegas Tobalaba II,Inversiones Viscachas SPA
P-1545,Locales Construmart,CONSTRUMART SA
P-1527,Inacap Curicó,CONSTRUCTORA INARCO S.A.
P-1539,Inacap Valdivia,CONSTRUCTORA INARCO S.A.
P-1584,Andes de la Dehesa (deteccion de incendios),CONSTRUCTORA INARCO S.A.
P-1593,Oficinas Apoquindo,CONSTRUCTORA INARCO S.A.
P-1613,Andes Los Leones,CONSTRUCTORA INARCO S.A.
P-1620,"OF Apoquindo- Habilitaciones, Integracion y adicionales.",CONSTRUCTORA INARCO S.A.
P-1705,Los Clarines,CONSTRUCTORA INARCO S.A.
P-1522,Silvina Hurtado,Fernandez Wood Constructora S.A.
P-1518,Teresa Concha,EMP. CONSTRUCTORA INGENIEROS S.A.
P-1619,Llewellyn Jones,EMP. CONSTRUCTORA INGENIEROS S.A.
P-1642,Corinto,EMP. CONSTRUCTORA INGENIEROS S.A.
P-1669,Departamental,EMP. CONSTRUCTORA INGENIEROS S.A.
P-1682,Plaza Ceppi,EMP. CONSTRUCTORA INGENIEROS S.A.
P-1361,Clinica Reñaca,Constructora LYD S.A.
P-1608,Colegio de Ingenieros,Constructora LYD S.A.
P-1626,Clinica Bio Bio,Constructora LYD S.A.
P-1505,Inacap Puente alto,CONSTRUCTORA JCE S.A.
P-1713,Reserva San Francisco,EMPRESA NACIONAL DE CONSTRUCCIÓN LAS VERTIENTES SPA
P-1715,CD Lo Echevers,Quezada y Boetsch
P-1723,Villa Panamericana Lote C,Constructora Mena y Ovalle S.A.
P-1551,Edificio Donatello,SACYR CHILE S.A.
P-1553,El Roble,SACYR CHILE S.A.
P-1710,Ecuador Amengual,ECHEVERRIA S.A
P-1711,New Independencia,ECHEVERRIA S.A
P-1494,Arboleda Oriente,Constructora Terracorp S.A.
P-1696,Santa Victoria - Terracorp,Constructora Terracorp S.A.
P-1534,Centro de Distribución MK,DELTA INGENIERIA Y CONSTRUCCION S.A.
P-1507,Edificio Tantum,EBCO S.A.
P-1511,Edificio Miro,EBCO S.A.
P-1512,Megacentro subte al 3ero ambas torres,EBCO S.A.
P-1528,Policlínico Megacentro,EBCO S.A.
P-1530,Megacentro Norte piso 6 Nuestros Hijos,EBCO S.A.
P-1536,Ricardo Matte,EBCO S.A.
P-1684,Edificio Goycolea,EBCO S.A.
P-1704,CD Mercado Libre Mezzanina,EBCO S.A.
P-1623,Estoril II,EBCO S.A.
P-1628,Centro Comercial El Morro,EBCO S.A.
P-1644,Mirador de San Cristobal,EBCO S.A.
P-1652,Abdon Cifuentes,EBCO S.A.
P-1666,CD Axionlong,EBCO S.A.
P-1676,Lo Campino,EBCO S.A.
P-1591,Edificio Estoril,EBCO S.A.
P-1592,Nueva Costanera 3300,EBCO S.A.
P-1597,"Megacentro Piso 4, 5 Sur y Altillo",EBCO S.A.
P-1607,Megacentro Piso 9 SUR,EBCO S.A.
P-1610,Antonio Bellet (BOTH),EBCO S.A.
P-1611,Edificio Plaza Egaña,EBCO S.A.
P-1577,CCEE Adicional Megacentro,EBCO S.A.
P-1578,Parque Trinidad,EBCO S.A.
P-1579,Megacentro Piso 7 Sur,EBCO S.A.
P-1586,Megacentro Piso 7 NORTE,EBCO S.A.
P-1587,Megacentro Piso 6 SUR,EBCO S.A.
P-1590,Mirador del Portezuelo,EBCO S.A.
P-1564,Cuarta Avenida,EBCO S.A.
P-1567,Megacentro -1 Sur,EBCO S.A.
P-1568,Megacentro Piso 8 Sur,EBCO S.A.
P-1572,Factoria Italia II,EBCO S.A.
P-1573,Megacentro Locales Comerciales,EBCO S.A.
P-1575,Ecolab,EBCO S.A.
P-1556,Wisconsin y Arguello,EBCO S.A.
P-1557,Rosario Rosales,EBCO S.A.
P-1558,Colores del abra,EBCO S.A.
P-1559,Megacentro Norte piso 2y3 casino Cuerpo N,EBCO S.A.
P-1561,Chiloe,EBCO S.A.
P-1563,Sala Consejales (megacentro),EBCO S.A.
P-1540,Megacentro Citofonía Piso 8,EBCO S.A.
P-1541,Megacentro Ochagavia Piso 8,EBCO S.A.
P-1542,Megacentro Nucleo Central Accesos,EBCO S.A.
P-1544,Megacentro Nucleo Central CCTV Deteccion,EBCO S.A.
P-1550,Megacentro Piso 7,EBCO S.A.
P-1555,Kennedy,EBCO S.A.
P-1543,Oficinas Banmerchant,Inmobiliaria Vitalia S.A.
P-1649,Inacap Vitacura E2,CONSTRUCTORA CUEVAS Y PURCELL S.A.
P-1697,Estocolmo,Constructora Fortaleza S.A
P-1589,Blue Express Almacenes 2 y 3,Blue Express S.A.
P-1602,Altum Concha y Toro,CONSTRUCTORA NOVATEC EDIFICIOS S.A
P-827,Constructora San Ignacio,CONSTRUCTORA SAN IGNACIO LTDA
P-Comercial,Asignaciones asociadas al dpto. comercial,Grupo Schutz S.A.
P-Proyectos,Carga productos generales de proyectos,Grupo Schutz S.A.
P-Comercial,Asignaciones asociadas al dpto. comercial,Grupo Schutz S.A.
P-Proyectos,Carga productos generales de proyectos,Grupo Schutz S.A.
