Part_Number,Descripcion,Categoria,Familia,Costo_Promedio,Ultimo_x0020_Costo,Fecha_Ultima_Compra
T14382733,Cable UTP CAT6 Exterior blindado trimex o similar,T14,38,383,382.9737,2023-03-23T00:00:00-03:00
T14382752,Cable coaxial RG11,T14,38,1383,1382.7773,2023-05-16T00:00:00-04:00
T14382830,Cable Coaxial RG6 60% malla trishield,T14,38,143,143,2022-07-21T00:00:00-04:00
T14382931,CABLE COAXIAL T-200PLUS (RG6+) LSZH  CLASE A GRIS,T14,38,950,950,2022-12-29T00:00:00-03:00
T14383032,CABLE COAXIAL T-100 (RG6) LSZH CLASE A GRIS 212661 TLV,T14,38,418,417.568,2023-03-29T00:00:00-03:00
T14383100,Cable Blindado 2x18 AWG Multifilar NHTD 305m Gris,T14,38,331,330.623,2023-06-14T00:00:00-04:00
T14390027,Bateria 12V 5amp,T14,39,7458,7200,2023-06-02T00:00:00-04:00
T14390028,Bateria 12V 7amp,T14,39,8700,8700,2023-05-24T00:00:00-04:00
T14390162,Fuente 220VAC/12VDC 30A Switching Itzumi 16C30A en caja c/vent 16 canales con proteccion,T14,39,62028,62028.155,2022-08-19T00:00:00-03:00
T14390168,"Cargador de Bateria Seco Larm ST-1206-1,5AQ",T14,39,9117,9117.2,2021-07-02T00:00:00-04:00
T14390169,Fuente 16VAC/12VDC 3.0A c/ cargador de bateria,T14,39,21072,23997,2021-03-09T00:00:00-03:00
T14390171,Fuente 220VAC/18VDC Golmar FA-PLUS/C,T14,39,24480,36.8262388176718,2017-07-21T00:00:00-04:00
T14390172,Fuente 220VAC/24VAC Notifier FCPS-24S6E 6.0amp UL/FM,T14,39,193114,193113.6,2018-06-27T00:00:00-04:00
T14390173,Fuente 220VAC/12VDC 4A c/ cargador de bateria,T14,39,20170,20170,2023-03-08T00:00:00-03:00
T14390174,Transformador 220VAC/16VAC 1.5A trafo,T14,39,6404,6500,2023-03-16T00:00:00-03:00
T14390175,Fuente 220VAC/5VCD-12VCD PC 650w 9cm mini-ITX,T14,39,10076,10076,2015-04-16T00:00:00-03:00
T14390176,Fuente 220VAC/12VDC Aiphone PS-12S,T14,39,39210,39210.3852,2023-05-23T00:00:00-04:00
T14390308,Fuente 220VAC/24VAC 2.5A Optimus I-924UP,T14,39,41877,33.9058461487574,2019-10-08T00:00:00-03:00
T14390309,Gabinete expansores med 500x600x150 con divisiones y cerradura,T14,39,71700,71700,2020-01-16T00:00:00-03:00
T14390310,Transformador 220VAC/16VAC 40Vamp,T14,39,18723,18723,2022-07-13T00:00:00-04:00
T14390311,Transformador 220VAC/110VAC 100W,T14,39,22606,22605.882,2023-01-30T00:00:00-03:00
T14390321,UPS 750 VA 375w Minitower,T14,39,48995,48100,2021-07-09T00:00:00-04:00
T14390362,Fuente 220VAC/12VDC 10A Switching,T14,39,9990,9990,2023-06-19T00:00:00-04:00
T14390430,Fuente 220VAC/5VDC 850mA,T14,39,17814,17814,2015-08-27T00:00:00-03:00
T14390505,Fuente 220VAC/12VDC 20.0 A Switching,T14,39,8401,8401,2022-12-02T00:00:00-03:00
T14390704,Transformador 110VAC/16VAC Bosch D1640 40VA,T14,39,5000,5000,2015-09-14T00:00:00-03:00
T14390745,Fuente 220VAC/24V 1.0A Aiphone PS2410,T14,39,47040,47039.784,2017-02-15T00:00:00-03:00
T14390796,Transformador 220VAC/24VAC 1.0A Trafo 50Hz,T14,39,14560,14560,2022-05-20T00:00:00-04:00
T14390872,Fuente de poder Bticino 336010,T14,39,50780,50780,2018-12-14T00:00:00-03:00
T14390878,Fuente de poder Bticino 346000 para 2 hilos,T14,39,52274,51211,2018-09-24T00:00:00-03:00
T14390913,UPS 900VA Tower,T14,39,89076,89076,2022-12-27T00:00:00-03:00
T14391063,Fuente 220VAC/12VDC 1A Commax FF000RF/1A,T14,39,12751,12751.2,2014-04-11T00:00:00-03:00
T14391084,Estabilizador regulador de Voltage,T14,39,0,16386,2016-03-21T00:00:00-03:00
T14391212,UPS 2 KVA,T14,39,103380,103379.5,2023-05-04T00:00:00-03:00
T14391288,Fuente 220VAC/12VDC 15A Switching Itzumi 9C15A en caja c/vent 9 canales con proteccion,T14,39,45909,45908.6,2022-01-13T00:00:00-03:00
T14391295,Bateria 12V 50 amp gel,T14,39,58500,58500,2020-10-30T00:00:00-03:00
T14391296,Gabinete para fuente EST BC-1R rojo,T14,39,62130,62130.2484,2016-10-20T00:00:00-03:00
T14391363,Fuente HK-PS09C15A 12VDC 15 A c/ cargador de bateria,T14,39,29884,29883.9,2018-12-03T00:00:00-03:00
T14391364,Fuente 16VAC/24VDC 3.0 A c/ cargador de bateria,T14,39,21583,21582.5,2021-04-13T00:00:00-03:00
T14391395,Bateria 12v 40 AH P/Central Edwards,T14,39,58578,58578,2020-11-18T00:00:00-03:00
T14391402,Fuente 18VAC/120VAC 2.2A SENTECH,T14,39,21750,18075,2012-04-16T00:00:00-03:00
T14391413,Fuente 220VAC/12VDC 30A Switching,T14,39,21800,21000,2023-06-19T00:00:00-04:00
T14391421,Fuente 220VAC/5VDC 1.0A p/telef IP Fanvil LT-ITO/X35V,T14,39,1725,1725.4826,2017-03-24T00:00:00-03:00
T14391430,Fuente 220VAC/24VDC 1.7 Amp,T14,39,6855,6854.642,2017-03-30T00:00:00-03:00
T14391434,Fuente 220VAC/12VDC 1A Generica,T14,39,3900,3900,2018-06-06T00:00:00-04:00
T14391559,Fuente 220VAC/24VAC 10.0A Hochiki FN-1024ULX R/220 UL/FM,T14,39,361250,452.688562799965,2023-04-27T00:00:00-03:00
T14391584,Fuente 220VAC/24VAC 5.25A Hochiki FN-PS776 para reemplazo en panel FN,T14,39,238443,378.708886489372,2017-11-22T00:00:00-03:00
T14391604,Gabinete p/ Sirena 30 W,T14,39,7324,7323.5,2021-04-13T00:00:00-03:00
T14391642,Bateria 12V 150 amp acido,T14,39,184866,184865.5,2022-07-18T00:00:00-04:00
T14391750,Fuente 220VAC/24VAC Notifier AMPS-24E p/ NFS3030,T14,39,557142,557141.76,2019-04-11T00:00:00-03:00
T14391777,Fuente 220VAC/24VAC 6A Notifier FCPS-24S6E,T14,39,195426,195426,2018-10-18T00:00:00-03:00
T14391825,Gabinete metalico DSC serie power y Neo PC5003C,T14,39,14727,15000,2023-05-12T00:00:00-03:00
T14391829,Transformador 100-250V CA/18V (para chapa scanavini),T14,39,23779,23779,2023-06-27T00:00:00-04:00
T14391870,UPS 1500VA 900W Minitower,T14,39,61751,47880,2019-04-22T00:00:00-03:00
T14391896,Fuente 220VAC/24VAC Silent Knight Inteligente RPS-1000,T14,39,468626,721.185210835906,2019-04-01T00:00:00-03:00
T14391951,UPS 6 KVA,T14,39,768063,768063,2023-05-04T00:00:00-03:00
T14392035,Cable de poder trebol 10A,T14,39,877,1011,2023-05-10T00:00:00-03:00
T14392046,Fuente de poder Videx VX521-B,T14,39,65800,65800,2022-08-22T00:00:00-03:00
T14392138,Gabinete tablero metalico 300x200x150 IP65 1 puerta,T14,39,24256,23900,2023-01-30T00:00:00-03:00
T14392234,Fuente 220VAC/24VAC Edwards BPS 10amp UL/FM,T14,39,239920,239920,2020-12-09T00:00:00-03:00
T14392249,Fuente 220VAC/18VDC Golmar FA-PLUS,T14,39,109345,132.983,2022-07-06T00:00:00-04:00
T14392264,Cargador de Bateria Seco Larm ST-2406-3AQ,T14,39,26137,31940,2021-05-17T00:00:00-04:00
T14392276,Bateria 12V 18 ah gel,T14,39,84025,84025.21,2023-06-01T00:00:00-04:00
T14392306,Fuente 220VAC/24VAC 4.0A Hochiki FN-400ULX R/220 UL/FM,T14,39,167885,205.296,2023-03-21T00:00:00-03:00
T14392307,Gabinete para Fuente Poder,T14,39,7600,7600,2023-06-02T00:00:00-04:00
T14392329,Batería 12V 12Amp,T14,39,17414,17041,2023-03-07T00:00:00-03:00
T14392338,Fuente 220VAC/24V 2.0A Aiphone PS2420S,T14,39,69230,69285.3006,2023-05-02T00:00:00-03:00
T14392352,Transformador 220VAC/16VAC 3A,T14,39,8774,9330,2023-03-16T00:00:00-03:00
T14392364,Transformador 220VAC/16VAC 1.2AMP BH-TRAFOKCR Aiphone,T14,39,11482,11482,2019-08-23T00:00:00-03:00
T14392372,Gabinete Central Bosch D8103,T14,39,43380,43380,2023-02-03T00:00:00-03:00
T14392402,Transformador 220VAC/24VAC 5A Trafo 50Hz,T14,39,18115,11336.134,2021-05-06T00:00:00-03:00
T14392405,Transformador 220VAC/18VAC 3A,T14,39,4410,4410,2023-05-04T00:00:00-03:00
T14392411,Fuente 220VAC/18VDC 2.0A Aiphone PS1820S,T14,39,40401,40400.91,2017-12-13T00:00:00-03:00
T14392470,Gabinete Metalico 800x600x230,T14,39,56928,56928,2022-01-13T00:00:00-03:00
T14392487,Placa Fierro 1x3 M en 3mm,T14,39,39748,39747.8992,2012-12-12T00:00:00-03:00
T14392500,UPS 950VA 500W Minitower,T14,39,57471,57471,2019-09-23T00:00:00-03:00
T14392533,Fuente 220VAC/24VAC Edwards EST BPS6A/230 6.0amp UL/FM,T14,39,210814,210813.5608,2023-04-21T00:00:00-03:00
T14392553,Fuente 220VAC/12VDC 2A HK-AD,T14,39,3600,3600,2023-06-09T00:00:00-04:00
T14392616,Transformador 220V/24VAC 3.0A Trafo 50Hz,T14,39,8211,8235.3,2021-04-13T00:00:00-03:00
T14392626,Fuente 220VAC/12VDC 2.5A,T14,39,9500,17200,2013-06-17T00:00:00-04:00
T14392664,Caja Montaje Secutron p/ Teclado Remoto MR-2644SMR,T14,39,35748,35747.8426,2013-05-03T00:00:00-04:00
T14392740,Gabinete Metalico 400x300x200,T14,39,44704,46100,2023-02-15T00:00:00-03:00
T14392753,Gabinete Electrico 1000x600x300 Saime,T14,39,76841,76841,2014-02-11T00:00:00-03:00
T14392754,Fuente 220VAC/12VDC 5.0A Switching,T14,39,10395,10395,2022-09-01T00:00:00-03:00
T14392777,Kit supresor Honeywell S-4 proteccion para salidas contra fluctuaciones electricas,T14,39,10489,15.8801185298788,2015-07-21T00:00:00-03:00
